Arıza Detayı,stemmed_text
Sensor bank 1 in control unit MR has a short circuit.,sensor bank control unit mr short circuit
Sensor bank 2 in control unit MR has a short circuit.,sensor bank control unit mr short circuit
Sensor bank 2 in SCR frame module has a short circuit.,sensor bank scr frame modul short circuit
Sensor bank 3 in SCR frame module has a short circuit.,sensor bank scr frame modul short circuit
FaultNOx sensor,faultnox sensor
Component 'NOx sensor' is defective.,compon nox sensor defect
Excessive untreated nitrogen oxide emission,excess untreat nitrogen oxid emiss
Component 'Catalytic converter' is defective.,compon catalyt convert defect
Poor AdBlue quality or insufficient AdBlue dosage,poor adblu qualiti insuffici adblu dosag
"Poor AdBlue quality, insufficient AdBlue dosage or defective SCR catalytic converter",poor adblu qualiti insuffici adblu dosag defect scr catalyt convert
Water pump has Short circuit to ground.,water pump short circuit ground
Water pump has Open circuit.,water pump open circuit
Water pump has Short circuit to positive.,water pump short circuit posit
The pressure in the reservoir bladder is outside permissible range.,pressur reservoir bladder outsid permiss rang
General actuator error of continuously variable exhaust flap for diesel particulate filter,gener actuat error continu variabl exhaust flap diesel particul filter
Continuously variable exhaust flap for diesel particulate filter has Short circuit to ground.,continu variabl exhaust flap diesel particul filter short circuit ground
Continuously variable exhaust flap for diesel particulate filter has Short circuit to positive.,continu variabl exhaust flap diesel particul filter short circuit posit
Continuously variable exhaust flap for diesel particulate filter has Open circuit.,continu variabl exhaust flap diesel particul filter open circuit
Regeneration of diesel particulate filter not completed successfully.,regener diesel particul filter complet success
Charge air pressure in throttle valve too low.,charg air pressur throttl valv low
System error at component Constant throttle,system error compon constant throttl
Internal fault in control unitThe boot software of the software module is missing or faulty.,intern fault control unitth boot softwar softwar modul miss faulti
Temperature sensor T4 has Short circuit to positive or Short circuit to positive.,temperatur sensor short circuit posit short circuit posit
Temperature sensor T4 has Short circuit to ground.,temperatur sensor short circuit ground
The temperature at temperature sensor T4 is too high.,temperatur temperatur sensor high
Control module SCR signals fault.Component AdBlue temperature sensor has Short circuit to ground.,control modul scr signal faultcompon adblu temperatur sensor short circuit ground
"Control module SCR signals fault.Component AdBlue temperature sensor has Short circuit to positive,Open circuit.",control modul scr signal faultcompon adblu temperatur sensor short circuit positiveopen circuit
Control module SCR signals fault.Component AdBlue pressure sensor has Short circuit to ground.,control modul scr signal faultcompon adblu pressur sensor short circuit ground
"Control module SCR signals fault.Component AdBlue pressure sensor has Short circuit to positive,Open circuit.",control modul scr signal faultcompon adblu pressur sensor short circuit positiveopen circuit
Control module SCR signals fault.The supply voltage of the sensors is too low (undervoltage).,control modul scr signal faultth suppli voltag sensor low undervoltag
Control module SCR signals fault.The supply voltage of the sensors is too high (overvoltage).,control modul scr signal faultth suppli voltag sensor high overvoltag
Control module SCR signals fault.The ground line of component AdBlue metering valve has Short circuit to ground.,control modul scr signal faultth ground line compon adblu meter valv short circuit ground
Control module SCR signals fault.The ground line of component AdBlue metering valve has Short circuit to positive.,control modul scr signal faultth ground line compon adblu meter valv short circuit posit
Control module SCR signals fault.The ground line of component AdBlue metering valve has Open circuit.,control modul scr signal faultth ground line compon adblu meter valv open circuit
Control module SCR signals fault.The ground line of the heater has Short circuit to ground.,control modul scr signal faultth ground line heater short circuit ground
Control module SCR signals fault.The ground line of the heater has Short circuit to positive.,control modul scr signal faultth ground line heater short circuit posit
Control module SCR signals fault.The ground line of the heater has Open circuit.,control modul scr signal faultth ground line heater open circuit
Control module SCR signals fault.High-side output 1 has Short circuit to ground.,control modul scr signal faulthighsid output short circuit ground
Control module SCR signals fault.High-side output 1 has Short circuit to positive.,control modul scr signal faulthighsid output short circuit posit
Control module SCR signals fault.High-side output 2 has Short circuit to ground.,control modul scr signal faulthighsid output short circuit ground
Control module SCR signals fault.High-side output 2 has Short circuit to positive.,control modul scr signal faulthighsid output short circuit posit
Control module SCR signals fault.Undervoltage,control modul scr signal faultundervoltag
Control module SCR signals fault.Overvoltage,control modul scr signal faultovervoltag
Control module SCR signals fault.The ground line of component AdBlue pump has Short circuit to ground.,control modul scr signal faultth ground line compon adblu pump short circuit ground
Control module SCR signals fault.The ground line of component AdBlue pump has Short circuit to positive.,control modul scr signal faultth ground line compon adblu pump short circuit posit
Control module SCR signals fault.The ground line of component AdBlue pump has Open circuit.,control modul scr signal faultth ground line compon adblu pump open circuit
Control module SCR signals fault.The contamination limit of the AdBlue® filter has almost been reached.,control modul scr signal faultth contamin limit adblu filter almost reach
Control module SCR signals fault.The contamination limit of the AdBlue® filter has been exceeded.,control modul scr signal faultth contamin limit adblu filter exceed
Control module SCR signals fault.The rpm of component 'AdBlue pump' is too high.,control modul scr signal faultth rpm compon adblu pump high
Control module SCR signals fault.The rpm of component 'AdBlue pump' is too low.,control modul scr signal faultth rpm compon adblu pump low
Control module SCR signals fault.The rpm of component 'AdBlue pump' is implausible.,control modul scr signal faultth rpm compon adblu pump implaus
Control module SCR signals fault.AdBlue pump jammed,control modul scr signal faultadblu pump jam
Control module SCR signals fault.The rpm difference of the AdBlue® pump between low and high metering quantities is too small.,control modul scr signal faultth rpm differ adblu pump low high meter quantiti small
Internal error in control unit SCR,intern error control unit scr
Internal error in control unit SCR,intern error control unit scr
Control module SCR signals fault.The bleed valve is defective.,control modul scr signal faultth bleed valv defect
Control module SCR signals fault.Component AdBlue pump is defective.,control modul scr signal faultcompon adblu pump defect
Control module SCR signals fault.The data set is invalid.,control modul scr signal faultth data set invalid
Control module SCR signals fault.The AdBlue® metering unit is defective.,control modul scr signal faultth adblu meter unit defect
Control module SCR signals fault.The AdBlue® supply unit is defective.,control modul scr signal faultth adblu suppli unit defect
Control module SCR signals fault.The rpm variation of the component 'AdBlue pump' is too great.,control modul scr signal faultth rpm variat compon adblu pump great
The data set does not match the control unit version.,data set match control unit version
SCR-LO:No communication is possible with control unit SCR.,scrlono commun possibl control unit scr
SCR-LO:The NOx sensor has a communication fault.,scrloth nox sensor commun fault
SCR-LO:Proportioning valve 7 has Open circuit.,scrloproport valv open circuit
SCR-LO:The ground line of component Proportional valve 7 has Short circuit to positive.,scrloth ground line compon proport valv short circuit posit
SCR-LO:The ground line of component Proportional valve 7 has Short circuit to ground.,scrloth ground line compon proport valv short circuit ground
"SCR-LO:Component Air humidity sensor has Short circuit to positive,Open circuit.",scrlocompon air humid sensor short circuit positiveopen circuit
SCR-LO:Component Air humidity sensor has Short circuit to ground.,scrlocompon air humid sensor short circuit ground
"SCR-LO:Sensor 'Intake air temperature' has Short circuit to positive,Open circuit.",scrlosensor intak air temperatur short circuit positiveopen circuit
SCR-LO:Sensor 'Intake air temperature' has Short circuit to ground.,scrlosensor intak air temperatur short circuit ground
SCR-LO:The fill level sensor of the AdBlue tank indicates an excessively high value.,scrloth fill level sensor adblu tank indic excess high valu
SCR-LO:The fill level sensor of the AdBlue tank indicates an excessively low value.,scrloth fill level sensor adblu tank indic excess low valu
"SCR-LO:Temperature sensor of AdBlue tanks has Short circuit to positive,Open circuit.",scrlotemperatur sensor adblu tank short circuit positiveopen circuit
SCR-LO:Temperature sensor of AdBlue tanks has Short circuit to ground.,scrlotemperatur sensor adblu tank short circuit ground
"SCR-LO:Temperature sensor upstream of catalytic converter has Short circuit to positive,Open circuit.",scrlotemperatur sensor upstream catalyt convert short circuit positiveopen circuit
SCR-LO:Temperature sensor upstream of catalytic converter has Short circuit to ground.,scrlotemperatur sensor upstream catalyt convert short circuit ground
"SCR-LO:Temperature sensor downstream of catalytic converter has Short circuit to positive,Open circuit.",scrlotemperatur sensor downstream catalyt convert short circuit positiveopen circuit
SCR-LO:Temperature sensor downstream of catalytic converter has Short circuit to ground.,scrlotemperatur sensor downstream catalyt convert short circuit ground
SCR-LO:The contamination limit of the AdBlue® filter has almost been reached.,scrloth contamin limit adblu filter almost reach
SCR-LO:The contamination limit of the AdBlue® filter has been exceeded.,scrloth contamin limit adblu filter exceed
A unit pump of bank 1 has Short circuit to positive.,unit pump bank short circuit posit
The return of the unit pumps of bank 1 has Short circuit to ground.,return unit pump bank short circuit ground
A unit pump of bank 2 has Short circuit to positive.,unit pump bank short circuit posit
The return of the unit pumps of bank 2 has Short circuit to ground.,return unit pump bank short circuit ground
Unit pump for cylinder 1: valve no impact,unit pump cylind valv impact
Unit pump for cylinder 1: Actuation fault,unit pump cylind actuat fault
Unit pump for cylinder 1: short circuit,unit pump cylind short circuit
Unit pump for cylinder 2: valve no impact,unit pump cylind valv impact
Unit pump for cylinder 2: Actuation fault,unit pump cylind actuat fault
Unit pump for cylinder 2: short circuit,unit pump cylind short circuit
Unit pump for cylinder 3: valve no impact,unit pump cylind valv impact
Unit pump for cylinder 3: Actuation fault,unit pump cylind actuat fault
Unit pump for cylinder 3: short circuit,unit pump cylind short circuit
Unit pump for cylinder 4: valve no impact,unit pump cylind valv impact
Unit pump for cylinder 4: Actuation fault,unit pump cylind actuat fault
Unit pump for cylinder 4: short circuit,unit pump cylind short circuit
Unit pump for cylinder 5: valve no impact,unit pump cylind valv impact
Unit pump for cylinder 5: Actuation fault,unit pump cylind actuat fault
Unit pump for cylinder 5: short circuit,unit pump cylind short circuit
Unit pump for cylinder 6: valve no impact,unit pump cylind valv impact
Unit pump for cylinder 6: Actuation fault,unit pump cylind actuat fault
Unit pump for cylinder 6: short circuit,unit pump cylind short circuit
Unit pump for cylinder 7: valve no impact,unit pump cylind valv impact
Unit pump for cylinder 7: Actuation fault,unit pump cylind actuat fault
Unit pump for cylinder 7: short circuit,unit pump cylind short circuit
Unit pump for cylinder 8: valve no impact,unit pump cylind valv impact
Unit pump for cylinder 8: Actuation fault,unit pump cylind actuat fault
Unit pump for cylinder 8: short circuit,unit pump cylind short circuit
AdBlue line heater has Short circuit to ground.,adblu line heater short circuit ground
AdBlue line heater has Short circuit to positive.,adblu line heater short circuit posit
AdBlue line heater has Open circuit.,adblu line heater open circuit
AdBlue line heater is defective.,adblu line heater defect
Solenoid valve of AdBlue tank heater has Short circuit to ground.,solenoid valv adblu tank heater short circuit ground
Solenoid valve of AdBlue tank heater has Short circuit to positive.,solenoid valv adblu tank heater short circuit posit
Solenoid valve of AdBlue tank heater has Open circuit.,solenoid valv adblu tank heater open circuit
Heat valve of AdBlue tank is defective.,heat valv adblu tank defect
"Fill level sensor of AdBlue tank has Short circuit to positive, Open circuit.",fill level sensor adblu tank short circuit posit open circuit
Fill level sensor of AdBlue tank has Short circuit to ground.,fill level sensor adblu tank short circuit ground
Fill level of AdBlue tank is too low.,fill level adblu tank low
"Temperature sensor of AdBlue tanks has Short circuit to positive, Open circuit.",temperatur sensor adblu tank short circuit posit open circuit
Temperature sensor of AdBlue tanks has Short circuit to ground.,temperatur sensor adblu tank short circuit ground
Sensor 'Fill level/temperature of AdBlue tank' is defective.,sensor fill leveltemperatur adblu tank defect
Internal error in the SCR frame module,intern error scr frame modul
Actuation of OBD lamp is faulty.,actuat obd lamp faulti
The heater flange has Open circuit.,heater flang open circuit
Fault at heater flange,fault heater flang
The diagnostic cable of the oil separator has Short circuit to ground.,diagnost cabl oil separ short circuit ground
The diagnostic cable of the oil separator has Open circuit or Short circuit to positive.,diagnost cabl oil separ open circuit short circuit posit
The EGR valve is faulty.,egr valv faulti
Temperature difference between exhaust gas and coolant is implausible.,temperatur differ exhaust ga coolant implaus
AdBlue pressure is too high.,adblu pressur high
AdBlue pressure is too low.,adblu pressur low
AdBlue pressure drop is too low during run-on.,adblu pressur drop low runon
Power consumption of AdBlue pump is too high.,power consumpt adblu pump high
SCR air pressure is too high.,scr air pressur high
SCR air pressure is too low.,scr air pressur low
The air supply of the SCR compressed air system is faulty.,air suppli scr compress air system faulti
Parameterizing error,parameter error
Exhaust gas aftertreatment switched off and diagnosis routine active,exhaust ga aftertreat switch diagnosi routin activ
Exhaust gas aftertreatment switched off and diagnosis routine active,exhaust ga aftertreat switch diagnosi routin activ
Proportioning valve 1 has Short circuit to ground.,proport valv short circuit ground
Proportioning valve 1 has Short circuit to positive.,proport valv short circuit posit
Proportioning valve 1 has Open circuit.,proport valv open circuit
Proportioning valve 3 has Short circuit to ground.,proport valv short circuit ground
Proportioning valve 3 has Short circuit to positive.,proport valv short circuit posit
Proportioning valve 3 has Open circuit.,proport valv open circuit
Proportioning valve 3:No fan speed,proport valv fan speed
Proportioning valve 4 has Short circuit to ground.,proport valv short circuit ground
Proportioning valve 4 has Short circuit to positive.,proport valv short circuit posit
Proportioning valve 4 has Open circuit.,proport valv open circuit
Proportioning valve 2 has Short circuit to positive.,proport valv short circuit posit
Proportioning valve 2 has Short circuit to ground.,proport valv short circuit ground
Proportioning valve 2 has Short circuit to positive.,proport valv short circuit posit
Proportioning valve 2 has Open circuit.,proport valv open circuit
Proportioning valve 2:Current implausible,proport valv implaus
Proportioning valve 5 has Short circuit to positive.,proport valv short circuit posit
Proportioning valve 5 has Short circuit to ground.,proport valv short circuit ground
Battery voltage too high,batteri voltag high
Battery voltage too low,batteri voltag low
Proportioning valve 6 has Short circuit to ground.,proport valv short circuit ground
Proportioning valve 6 has Short circuit to positive.,proport valv short circuit posit
Proportioning valve 6 has Open circuit.,proport valv open circuit
The proportioning valve bank 1 has Short circuit to positive.,proport valv bank short circuit posit
The proportioning valve bank 1 has Short circuit to ground.,proport valv bank short circuit ground
The proportioning valve bank 2 has Short circuit to positive.,proport valv bank short circuit posit
The proportioning valve bank 2 has Short circuit to ground.,proport valv bank short circuit ground
Proportioning valve bank 'SCR frame module' has Short circuit to positive.,proport valv bank scr frame modul short circuit posit
Proportioning valve bank 'SCR frame module' has Short circuit to ground.,proport valv bank scr frame modul short circuit ground
Terminal 50 on series relay(Short circuit to positive),termin seri relayshort circuit posit
Terminal 50 on series relay(Short circuit to ground),termin seri relayshort circuit ground
Terminal 50 on series relay(Open circuit),termin seri relayopen circuit
Series relay defective,seri relay defect
Starter actuation (output stage) faulty,starter actuat output stage faulti
Starter does not engage,starter engag
SCR compressed air shutoff valve has Short circuit to ground.,scr compress air shutoff valv short circuit ground
SCR compressed air shutoff valve has Short circuit to positive.,scr compress air shutoff valv short circuit posit
SCR compressed air shutoff valve has Open circuit.,scr compress air shutoff valv open circuit
AdBlue metering valve has Short circuit to ground.,adblu meter valv short circuit ground
AdBlue metering valve has Short circuit to positive.,adblu meter valv short circuit posit
AdBlue metering valve has Open circuit.,adblu meter valv open circuit
"AdBlue temperature sensor has Open circuit, Short circuit to positive.",adblu temperatur sensor open circuit short circuit posit
AdBlue temperature sensor has Short circuit to ground.,adblu temperatur sensor short circuit ground
"AdBlue pressure sensor has Short circuit to positive, Open circuit.",adblu pressur sensor short circuit posit open circuit
AdBlue pressure sensor has Short circuit to ground.,adblu pressur sensor short circuit ground
Measured value of AdBlue pressure sensor is implausible.,measur valu adblu pressur sensor implaus
"SCR compressed air sensor has Short circuit to positive, Open circuit.",scr compress air sensor short circuit posit open circuit
SCR compressed air sensor has Short circuit to ground.,scr compress air sensor short circuit ground
Measured value of SCR compressed air sensor is implausible.,measur valu scr compress air sensor implaus
Current AdBlue consumption is too high.,current adblu consumpt high
Current AdBlue consumption is too low.,current adblu consumpt low
Average AdBlue consumption is too high.,averag adblu consumpt high
Average AdBlue consumption is too low.,averag adblu consumpt low
AdBlue pressure is implausible.,adblu pressur implaus
AdBlue metering valve on SCR frame module has Short circuit to ground.,adblu meter valv scr frame modul short circuit ground
AdBlue metering valve on SCR frame module has Short circuit to positive.,adblu meter valv scr frame modul short circuit posit
AdBlue metering valve on SCR frame module has Open circuit.,adblu meter valv scr frame modul open circuit
Unit pump cylinder 1: smooth idle control within limit,unit pump cylind smooth idl control within limit
Unit pump cylinder 1: single cylinder adjustment within limit,unit pump cylind singl cylind adjust within limit
Unit pump cylinder 2: smooth idle control within limit,unit pump cylind smooth idl control within limit
Unit pump cylinder 2: single cylinder adjustment within limit,unit pump cylind singl cylind adjust within limit
Unit pump cylinder 3: smooth idle control within limit,unit pump cylind smooth idl control within limit
Unit pump cylinder 3: single cylinder adjustment within limit,unit pump cylind singl cylind adjust within limit
Unit pump cylinder 4: smooth idle control within limit,unit pump cylind smooth idl control within limit
Unit pump cylinder 4: single cylinder adjustment within limit,unit pump cylind singl cylind adjust within limit
Unit pump cylinder 5: smooth idle control within limit,unit pump cylind smooth idl control within limit
Unit pump cylinder 5: single cylinder adjustment within limit,unit pump cylind singl cylind adjust within limit
Unit pump cylinder 6: smooth idle control within limit,unit pump cylind smooth idl control within limit
Unit pump cylinder 6: single cylinder adjustment within limit,unit pump cylind singl cylind adjust within limit
Unit pump cylinder 7: smooth idle control within limit,unit pump cylind smooth idl control within limit
Unit pump cylinder 7: single cylinder adjustment within limit,unit pump cylind singl cylind adjust within limit
Unit pump cylinder 8: smooth idle control within limit,unit pump cylind smooth idl control within limit
Unit pump cylinder 8: single cylinder adjustment within limit,unit pump cylind singl cylind adjust within limit
Single cylinder comparison aborted,singl cylind comparison abort
Too many keys,mani key
"Immobilizer guard function active, control unit MR engine control blocked",immobil guard function activ control unit mr engin control block
Immobilizer in MR engine control activated,immobil mr engin control activ
No transponder code through engine CAN bus,transpond code engin bu
No transponder code through terminal 50,transpond code termin
Incorrect transponder key,incorrect transpond key
Abort of automatic compression test,abort automat compress test
Abort of automatic compression test,abort automat compress test
"The measuring range of the temperature sensor of the component 'Pump, line, jet (PLD) control unit' has been exceeded.",measur rang temperatur sensor compon pump line jet pld control unit exceed
FR drive control,fr drive control
No CAN message from ABS Anti-lock Braking System or BS brake control (EPB) or message incorrect,messag ab antilock brake system bs brake control epb messag incorrect
No or incorrect CAN message from control unit GS Gear control,incorrect messag control unit gs gear control
No or incorrect CAN message from control unit KS clutch control,incorrect messag control unit ks clutch control
No or incorrect CAN message from control unit RS Retarder control,incorrect messag control unit rs retard control
No or incorrect CAN message from control unit INS Instrument,incorrect messag control unit in instrument
No or incorrect CAN message from control unit PSM Parameterizable Special Module,incorrect messag control unit psm parameteriz special modul
Vehicle CAN bus has Open circuit or Short circuit to positive or Short circuit to ground.,vehicl bu open circuit short circuit posit short circuit ground
No or incorrect CAN message from control unit WSK torque converter-clutch,incorrect messag control unit wsk torqu converterclutch
No or incorrect CAN message from control unit KWS Articulation angle control,incorrect messag control unit kw articul angl control
Engine CAN to MR engine control in single-wire mode,engin mr engin control singlewir mode
No or incorrect CAN message from control unit MR engine control,incorrect messag control unit mr engin control
Engine CAN to MR engine control interrupted,engin mr engin control interrupt
Engine CAN to FLA flame starting system interrupted,engin fla flame start system interrupt
Vehicle CAN bus has Open circuit or Short circuit to positive.,vehicl bu open circuit short circuit posit
Vehicle CAN bus has Short circuit to positive or Short circuit to ground.,vehicl bu short circuit posit short circuit ground
'D+ input' has Short circuit to positive.,input short circuit posit
'D+ input' has Open circuit or Short circuit to ground.,input open circuit short circuit ground
Clutch pedal switch 1 has Open circuit.,clutch pedal switch open circuit
Parking brake switch III-15/9 faulty or has short circuit.,park brake switch faulti short circuit
Brake pedal switch has Open circuit.,brake pedal switch open circuit
Brake pedal switch has Short circuit to positive or Short circuit to ground.,brake pedal switch short circuit posit short circuit ground
'Engine control / continuous brake' operating lever has Open circuit or Short circuit to ground.,engin control continu brake oper lever open circuit short circuit ground
"""Engine control / continuous brake"" operating lever has Short circuit to positive.",engin control continu brake oper lever short circuit posit
"""Engine control / continuous brake"" operating lever has Short circuit to positive.",engin control continu brake oper lever short circuit posit
Clutch pedal switches 1 and 2: incorrect adjustment or switches sticking,clutch pedal switch incorrect adjust switch stick
"Neutral position switch, VI-18/16 faulty/ switch stuck",neutral posit switch faulti switch stuck
"Splitter switch, II-18/11 and II-18/12 Open circuit/ faulty",splitter switch open circuit faulti
"Engine brake switch of ""Engine control / continuous brake"" operating lever faulty",engin brake switch engin control continu brake oper lever faulti
Square-wave output GSV 1 (pulsed switch supply) has Short circuit to positive.,squarewav output gsv puls switch suppli short circuit posit
Square-wave output GSV 1 (pulsed switch supply) has Short circuit to ground.,squarewav output gsv puls switch suppli short circuit ground
Square-wave output GSV 2 (pulsed switch supply) has Short circuit to positive.,squarewav output gsv puls switch suppli short circuit posit
Square-wave output GSV 2 (pulsed switch supply) has Short circuit to ground.,squarewav output gsv puls switch suppli short circuit ground
Square-wave output GSV 3 (pulsed switch supply) has Short circuit to positive.,squarewav output gsv puls switch suppli short circuit posit
Square-wave output GSV 3 (pulsed switch supply) has Short circuit to ground.,squarewav output gsv puls switch suppli short circuit ground
Square-wave output GSV 4 (pulsed switch supply) has Short circuit to positive.,squarewav output gsv puls switch suppli short circuit posit
Square-wave output GSV 4 (pulsed switch supply) has Short circuit to ground.,squarewav output gsv puls switch suppli short circuit ground
Square-wave outputs (pulsed switch supply) GSV 1 and GSV 4 have Short circuit to positive.,squarewav output puls switch suppli gsv gsv short circuit posit
Square-wave outputs (pulsed switch supply) GSV 1 and GSV 4 have Short circuit to ground.,squarewav output puls switch suppli gsv gsv short circuit ground
Square-wave outputs (pulsed switch supply) GSV 2 and GSV 3 have Short circuit to positive.,squarewav output puls switch suppli gsv gsv short circuit posit
Square-wave outputs (pulsed switch supply) GSV 2 and GSV 3 have Short circuit to ground.,squarewav output puls switch suppli gsv gsv short circuit ground
Output to oil level switch (3-channel ABS) has Short circuit to positive.,output oil level switch ab short circuit posit
Output to oil level switch (3-channel ABS) has Open circuit.,output oil level switch ab open circuit
Circuit 30 has Open circuit.,circuit open circuit
Overvoltage at terminal 30,overvoltag termin
Undervoltage at terminal 30,undervoltag termin
"Coolant level switch 15B01 or air filter monitoring sensor 10B01 faulty, voltage supply III-15/3 has Open circuit or Short circuit to positive or Short circuit to ground.",coolant level switch air filter monitor sensor faulti voltag suppli open circuit short circuit posit short circuit ground
Air filter monitoring sensor faulty,air filter monitor sensor faulti
Soiling limit of air cleaner is reached.,soil limit air cleaner reach
Ambient air temperature sensor has Open circuit or Short circuit to positive or Short circuit to ground.,ambient air temperatur sensor open circuit short circuit posit short circuit ground
Clutch position sensor not within permissible range,clutch posit sensor within permiss rang
Coolant level switch is faulty.,coolant level switch faulti
Maximum wear of clutch lining is reached.,maximum wear clutch line reach
Clutch position sensor not within permissible range,clutch posit sensor within permiss rang
'W-signal' input has Open circuit or Short circuit to ground or Short circuit to positive.,wsignal input open circuit short circuit ground short circuit posit
"'Transmission input speed signal' faulty, frequency fault",transmiss input speed signal faulti frequenc fault
Transmission input speed sensor has Open circuit or Short circuit to positive or Short circuit to ground.,transmiss input speed sensor open circuit short circuit posit short circuit ground
Invalid speed signal,invalid speed signal
V-signal input has Open circuit or Short circuit to positive or Short circuit to ground.,vsignal input open circuit short circuit posit short circuit ground
The first branch of the foot throttle actuator has Open circuit or Short circuit to positive or Short circuit to ground.,first branch foot throttl actuat open circuit short circuit posit short circuit ground
The second branch of the foot throttle actuator has Open circuit or Short circuit to positive or Short circuit to ground.,second branch foot throttl actuat open circuit short circuit posit short circuit ground
Foot throttle actuator faulty,foot throttl actuat faulti
Foot throttle actuator does not reach idle throttle stop.,foot throttl actuat reach idl throttl stop
Foot throttle actuator not within learned range,foot throttl actuat within learn rang
Foot throttle actuator stiff in operation,foot throttl actuat stiff oper
Solenoid valve 1 (actuation of engine brake 1) has Open circuit or Short circuit to positive.,solenoid valv actuat engin brake open circuit short circuit posit
Solenoid valve 1 (actuation of engine brake 1) has Short circuit to ground.,solenoid valv actuat engin brake short circuit ground
Solenoid valve 1 (actuation of engine brake 1) has Short circuit to positive.,solenoid valv actuat engin brake short circuit posit
Solenoid valve 1 (actuation of engine brake 1) has Open circuit.,solenoid valv actuat engin brake open circuit
Solenoid valve 2 (actuation of engine brake 2) has Open circuit or Short circuit to positive.,solenoid valv actuat engin brake open circuit short circuit posit
Solenoid valve 2 (actuation of engine brake 2) has Short circuit to ground.,solenoid valv actuat engin brake short circuit ground
Solenoid valve 2 (actuation of engine brake 2) has Short circuit to positive.,solenoid valv actuat engin brake short circuit posit
Solenoid valve 2 (actuation of engine brake 2) has Open circuit.,solenoid valv actuat engin brake open circuit
MBA engine brake output valve connection has Short circuit to ground.,mba engin brake output valv connect short circuit ground
MBA engine brake output valve connection has Short circuit to positive.,mba engin brake output valv connect short circuit posit
Output IV 18/7 or IV 18/8 has Open circuit or Short circuit to positive.,output iv iv open circuit short circuit posit
Splitter solenoid valve 1 has Short circuit to ground.,splitter solenoid valv short circuit ground
Splitter solenoid valve 1 has Short circuit to positive.,splitter solenoid valv short circuit posit
Splitter solenoid valve 1 has Open circuit.,splitter solenoid valv open circuit
Output IV 18/7 or IV 18/10 has Open circuit or Short circuit to positive.,output iv iv open circuit short circuit posit
Splitter solenoid valve 2 has Short circuit to ground.,splitter solenoid valv short circuit ground
Splitter solenoid valve 2 has Short circuit to positive.,splitter solenoid valv short circuit posit
Splitter solenoid valve 2 has Open circuit.,splitter solenoid valv open circuit
Output IV 18/7 or IV 15/8 has Short circuit to ground.,output iv iv short circuit ground
Output IV 18/7 or IV 15/8 has Short circuit to positive.,output iv iv short circuit posit
'Brake light actuation' output has Open circuit or Short circuit to positive.,brake light actuat output open circuit short circuit posit
'Brake light actuation' output has Short circuit to ground.,brake light actuat output short circuit ground
'Brake light actuation' output has Short circuit to positive.,brake light actuat output short circuit posit
'Brake light actuation' output has Open circuit.,brake light actuat output open circuit
'Reversing light actuation' output has Open circuit or Short circuit to positive.,revers light actuat output open circuit short circuit posit
'Reversing light actuation' output has Short circuit to ground.,revers light actuat output short circuit ground
'Reversing light actuation' output has Short circuit to positive.,revers light actuat output short circuit posit
'Reversing light actuation' output has Open circuit.,revers light actuat output open circuit
'Actuation of D+' output has Open circuit or Short circuit to positive.,actuat output open circuit short circuit posit
'Actuation of D+' output has Short circuit to ground.,actuat output short circuit ground
'Actuation of D+' output has Short circuit to positive.,actuat output short circuit posit
'Actuation of D+' output has Open circuit.,actuat output open circuit
'Automatic engine oil replenishment' actuation has Open circuit or Short circuit to positive.,automat engin oil replenish actuat open circuit short circuit posit
'Automatic engine oil replenishment' actuation has Short circuit to ground.,automat engin oil replenish actuat short circuit ground
'Automatic engine oil replenishment' actuation has Short circuit to positive.,automat engin oil replenish actuat short circuit posit
'Automatic engine oil replenishment' actuation has Open circuit.,automat engin oil replenish actuat open circuit
Control module has an internal error.,control modul intern error
Control module has an internal error.,control modul intern error
Control module has an internal error.,control modul intern error
Control module has an internal error.,control modul intern error
Accelerator pedal unit not learned,acceler pedal unit learn
Learning error with splitter ratio,learn error splitter ratio
Learning error with terminal W ratio,learn error termin w ratio
Learning error with clutch travel sensor,learn error clutch travel sensor
Learning error at vehicle CAN bus,learn error vehicl bu
MCM Motor Control Module(Cummins),mcm motor control modulecummin
The component 'Position of exhaust gas recirculation valve' or its electrical line has a short circuit to ground.,compon posit exhaust ga recircul valv electr line short circuit ground
The component 'Throttle valve positioner' or its electrical line has a short circuit to positive.,compon throttl valv position electr line short circuit posit
The component 'Throttle valve positioner' or its electrical line has a short circuit to ground.,compon throttl valv position electr line short circuit ground
Component Throttle valve positioner is not leaktight.,compon throttl valv position leaktight
Signal 'Vehicle speed' is implausible.,signal vehicl speed implaus
Manipulation of switching circuit of speed sensor detected.,manipul switch circuit speed sensor detect
Component '10B58: 2-way analog accelerator pedal' delivers no signal or an implausible signal.,compon analog acceler pedal deliv signal implaus signal
The component '10B58: 2-way analog accelerator pedal' or its electrical line has a short circuit to positive.,compon analog acceler pedal electr line short circuit posit
The component '10B58: 2-way analog accelerator pedal' or its electrical line has a short circuit to ground.,compon analog acceler pedal electr line short circuit ground
CAN communication with component '10B58: 2-way analog accelerator pedal' is faulty.,commun compon analog acceler pedal faulti
The component 'Condensation sensor' or its electrical line has a short circuit to positive.,compon condens sensor electr line short circuit posit
The component 'Condensation sensor' or its electrical line has a short circuit to ground.,compon condens sensor electr line short circuit ground
The water content of the fuel filter has reached the upper limit value.,water content fuel filter reach upper limit valu
Fuel filter-The water content is too high.,fuel filterth water content high
