Arıza Detayı,lemmatized_text
"The differential pressure sensor downstream of the diesel particulate filter has Short circuit to positive,Open circuit.",differential pressure sensor downstream diesel particulate filter short circuit positiveopen circuit
The differential pressure sensor downstream of the diesel particulate filter has Short circuit to ground.,differential pressure sensor downstream diesel particulate filter short circuit ground
The pressure differential in the diesel particulate filter is too high.,pressure differential diesel particulate filter high
The control deviation of the throttle valve is too high.,control deviation throttle valve high
The throttle valve reference cycle failed.,throttle valve reference cycle failed
The diffusor in the AdBlue metering unit is clogged.,diffusor adblue metering unit clogged
The diffusor heater has Open circuit.,diffusor heater open circuit
The diffusor heater has Short circuit to ground.,diffusor heater short circuit ground
The diffusor heater has Short circuit to positive.,diffusor heater short circuit positive
Internal fault in control unit,internal fault control unit
The proportioning valve bank 1 has Short circuit to positive.,proportioning valve bank short circuit positive
The proportioning valve bank 1 has Short circuit to ground.,proportioning valve bank short circuit ground
Internal control module error,internal control module error
No SCRT® system is installed.,scrt system installed
The measurement value(s) from the SCRT® temperature sensors (pair A) is/are implausible.,measurement value scrt temperature sensor pair isare implausible
The measurement value(s) from the SCRT® temperature sensors (pair B) is/are implausible.,measurement value scrt temperature sensor pair b isare implausible
No diesel particulate filter is installed.,diesel particulate filter installed
The measurement value of the differential pressure sensor upstream of the diesel particulate filter is implausible.,measurement value differential pressure sensor upstream diesel particulate filter implausible
The measurement value of the differential pressure sensor downstream of the diesel particulate filter is implausible.,measurement value differential pressure sensor downstream diesel particulate filter implausible
Excessive nitrogen oxide emission due to unknown cause (threshold 2 exceeded),excessive nitrogen oxide emission due unknown cause threshold exceeded
Excessive nitrogen oxide emission due to low quality AdBlue,excessive nitrogen oxide emission due low quality adblue
Excessive nitrogen oxide emission due to insufficient AdBlue dosage,excessive nitrogen oxide emission due insufficient adblue dosage
The measurement value of the NOx sensor is implausible.,measurement value nox sensor implausible
The temperature in the diesel particulate filter is too low.,temperature diesel particulate filter low
Sensor bank 1 in control unit MR has a short circuit.,sensor bank control unit mr short circuit
Sensor bank 2 in control unit MR has a short circuit.,sensor bank control unit mr short circuit
Sensor bank 2 in SCR frame module has a short circuit.,sensor bank scr frame module short circuit
Sensor bank 3 in SCR frame module has a short circuit.,sensor bank scr frame module short circuit
FaultNOx sensor,faultnox sensor
Component 'NOx sensor' is defective.,component nox sensor defective
Excessive untreated nitrogen oxide emission,excessive untreated nitrogen oxide emission
Component 'Catalytic converter' is defective.,component catalytic converter defective
Poor AdBlue quality or insufficient AdBlue dosage,poor adblue quality insufficient adblue dosage
"Poor AdBlue quality, insufficient AdBlue dosage or defective SCR catalytic converter",poor adblue quality insufficient adblue dosage defective scr catalytic converter
Water pump has Short circuit to ground.,water pump short circuit ground
Water pump has Open circuit.,water pump open circuit
Water pump has Short circuit to positive.,water pump short circuit positive
The pressure in the reservoir bladder is outside permissible range.,pressure reservoir bladder outside permissible range
General actuator error of continuously variable exhaust flap for diesel particulate filter,general actuator error continuously variable exhaust flap diesel particulate filter
Continuously variable exhaust flap for diesel particulate filter has Short circuit to ground.,continuously variable exhaust flap diesel particulate filter short circuit ground
Continuously variable exhaust flap for diesel particulate filter has Short circuit to positive.,continuously variable exhaust flap diesel particulate filter short circuit positive
Continuously variable exhaust flap for diesel particulate filter has Open circuit.,continuously variable exhaust flap diesel particulate filter open circuit
Regeneration of diesel particulate filter not completed successfully.,regeneration diesel particulate filter completed successfully
Charge air pressure in throttle valve too low.,charge air pressure throttle valve low
System error at component Constant throttle,system error component constant throttle
Internal fault in control unitThe boot software of the software module is missing or faulty.,internal fault control unitthe boot software software module missing faulty
Temperature sensor T4 has Short circuit to positive or Short circuit to positive.,temperature sensor short circuit positive short circuit positive
Temperature sensor T4 has Short circuit to ground.,temperature sensor short circuit ground
The temperature at temperature sensor T4 is too high.,temperature temperature sensor high
Control module SCR signals fault.Component AdBlue temperature sensor has Short circuit to ground.,control module scr signal faultcomponent adblue temperature sensor short circuit ground
"Control module SCR signals fault.Component AdBlue temperature sensor has Short circuit to positive,Open circuit.",control module scr signal faultcomponent adblue temperature sensor short circuit positiveopen circuit
Control module SCR signals fault.Component AdBlue pressure sensor has Short circuit to ground.,control module scr signal faultcomponent adblue pressure sensor short circuit ground
"Control module SCR signals fault.Component AdBlue pressure sensor has Short circuit to positive,Open circuit.",control module scr signal faultcomponent adblue pressure sensor short circuit positiveopen circuit
Control module SCR signals fault.The supply voltage of the sensors is too low (undervoltage).,control module scr signal faultthe supply voltage sensor low undervoltage
Control module SCR signals fault.The supply voltage of the sensors is too high (overvoltage).,control module scr signal faultthe supply voltage sensor high overvoltage
Control module SCR signals fault.The ground line of component AdBlue metering valve has Short circuit to ground.,control module scr signal faultthe ground line component adblue metering valve short circuit ground
Control module SCR signals fault.The ground line of component AdBlue metering valve has Short circuit to positive.,control module scr signal faultthe ground line component adblue metering valve short circuit positive
Control module SCR signals fault.The ground line of component AdBlue metering valve has Open circuit.,control module scr signal faultthe ground line component adblue metering valve open circuit
Control module SCR signals fault.The ground line of the heater has Short circuit to ground.,control module scr signal faultthe ground line heater short circuit ground
Control module SCR signals fault.The ground line of the heater has Short circuit to positive.,control module scr signal faultthe ground line heater short circuit positive
Control module SCR signals fault.The ground line of the heater has Open circuit.,control module scr signal faultthe ground line heater open circuit
Control module SCR signals fault.High-side output 1 has Short circuit to ground.,control module scr signal faulthighside output short circuit ground
Control module SCR signals fault.High-side output 1 has Short circuit to positive.,control module scr signal faulthighside output short circuit positive
Control module SCR signals fault.High-side output 2 has Short circuit to ground.,control module scr signal faulthighside output short circuit ground
Control module SCR signals fault.High-side output 2 has Short circuit to positive.,control module scr signal faulthighside output short circuit positive
Control module SCR signals fault.Undervoltage,control module scr signal faultundervoltage
Control module SCR signals fault.Overvoltage,control module scr signal faultovervoltage
Control module SCR signals fault.The ground line of component AdBlue pump has Short circuit to ground.,control module scr signal faultthe ground line component adblue pump short circuit ground
Control module SCR signals fault.The ground line of component AdBlue pump has Short circuit to positive.,control module scr signal faultthe ground line component adblue pump short circuit positive
Control module SCR signals fault.The ground line of component AdBlue pump has Open circuit.,control module scr signal faultthe ground line component adblue pump open circuit
Control module SCR signals fault.The contamination limit of the AdBlue® filter has almost been reached.,control module scr signal faultthe contamination limit adblue filter almost reached
Control module SCR signals fault.The contamination limit of the AdBlue® filter has been exceeded.,control module scr signal faultthe contamination limit adblue filter exceeded
Control module SCR signals fault.The rpm of component 'AdBlue pump' is too high.,control module scr signal faultthe rpm component adblue pump high
Control module SCR signals fault.The rpm of component 'AdBlue pump' is too low.,control module scr signal faultthe rpm component adblue pump low
Control module SCR signals fault.The rpm of component 'AdBlue pump' is implausible.,control module scr signal faultthe rpm component adblue pump implausible
Control module SCR signals fault.AdBlue pump jammed,control module scr signal faultadblue pump jammed
Control module SCR signals fault.The rpm difference of the AdBlue® pump between low and high metering quantities is too small.,control module scr signal faultthe rpm difference adblue pump low high metering quantity small
Internal error in control unit SCR,internal error control unit scr
Internal error in control unit SCR,internal error control unit scr
Control module SCR signals fault.The bleed valve is defective.,control module scr signal faultthe bleed valve defective
Control module SCR signals fault.Component AdBlue pump is defective.,control module scr signal faultcomponent adblue pump defective
Control module SCR signals fault.The data set is invalid.,control module scr signal faultthe data set invalid
Control module SCR signals fault.The AdBlue® metering unit is defective.,control module scr signal faultthe adblue metering unit defective
Control module SCR signals fault.The AdBlue® supply unit is defective.,control module scr signal faultthe adblue supply unit defective
Control module SCR signals fault.The rpm variation of the component 'AdBlue pump' is too great.,control module scr signal faultthe rpm variation component adblue pump great
The data set does not match the control unit version.,data set match control unit version
SCR-LO:No communication is possible with control unit SCR.,scrlono communication possible control unit scr
SCR-LO:The NOx sensor has a communication fault.,scrlothe nox sensor communication fault
SCR-LO:Proportioning valve 7 has Open circuit.,scrloproportioning valve open circuit
SCR-LO:The ground line of component Proportional valve 7 has Short circuit to positive.,scrlothe ground line component proportional valve short circuit positive
SCR-LO:The ground line of component Proportional valve 7 has Short circuit to ground.,scrlothe ground line component proportional valve short circuit ground
"SCR-LO:Component Air humidity sensor has Short circuit to positive,Open circuit.",scrlocomponent air humidity sensor short circuit positiveopen circuit
SCR-LO:Component Air humidity sensor has Short circuit to ground.,scrlocomponent air humidity sensor short circuit ground
"SCR-LO:Sensor 'Intake air temperature' has Short circuit to positive,Open circuit.",scrlosensor intake air temperature short circuit positiveopen circuit
SCR-LO:Sensor 'Intake air temperature' has Short circuit to ground.,scrlosensor intake air temperature short circuit ground
SCR-LO:The fill level sensor of the AdBlue tank indicates an excessively high value.,scrlothe fill level sensor adblue tank indicates excessively high value
SCR-LO:The fill level sensor of the AdBlue tank indicates an excessively low value.,scrlothe fill level sensor adblue tank indicates excessively low value
"SCR-LO:Temperature sensor of AdBlue tanks has Short circuit to positive,Open circuit.",scrlotemperature sensor adblue tank short circuit positiveopen circuit
SCR-LO:Temperature sensor of AdBlue tanks has Short circuit to ground.,scrlotemperature sensor adblue tank short circuit ground
"SCR-LO:Temperature sensor upstream of catalytic converter has Short circuit to positive,Open circuit.",scrlotemperature sensor upstream catalytic converter short circuit positiveopen circuit
SCR-LO:Temperature sensor upstream of catalytic converter has Short circuit to ground.,scrlotemperature sensor upstream catalytic converter short circuit ground
"SCR-LO:Temperature sensor downstream of catalytic converter has Short circuit to positive,Open circuit.",scrlotemperature sensor downstream catalytic converter short circuit positiveopen circuit
SCR-LO:Temperature sensor downstream of catalytic converter has Short circuit to ground.,scrlotemperature sensor downstream catalytic converter short circuit ground
SCR-LO:The contamination limit of the AdBlue® filter has almost been reached.,scrlothe contamination limit adblue filter almost reached
SCR-LO:The contamination limit of the AdBlue® filter has been exceeded.,scrlothe contamination limit adblue filter exceeded
A unit pump of bank 1 has Short circuit to positive.,unit pump bank short circuit positive
The return of the unit pumps of bank 1 has Short circuit to ground.,return unit pump bank short circuit ground
A unit pump of bank 2 has Short circuit to positive.,unit pump bank short circuit positive
The return of the unit pumps of bank 2 has Short circuit to ground.,return unit pump bank short circuit ground
Unit pump for cylinder 1: valve no impact,unit pump cylinder valve impact
Unit pump for cylinder 1: Actuation fault,unit pump cylinder actuation fault
Unit pump for cylinder 1: short circuit,unit pump cylinder short circuit
Unit pump for cylinder 2: valve no impact,unit pump cylinder valve impact
Unit pump for cylinder 2: Actuation fault,unit pump cylinder actuation fault
Unit pump for cylinder 2: short circuit,unit pump cylinder short circuit
Unit pump for cylinder 3: valve no impact,unit pump cylinder valve impact
Unit pump for cylinder 3: Actuation fault,unit pump cylinder actuation fault
Unit pump for cylinder 3: short circuit,unit pump cylinder short circuit
Unit pump for cylinder 4: valve no impact,unit pump cylinder valve impact
Unit pump for cylinder 4: Actuation fault,unit pump cylinder actuation fault
Unit pump for cylinder 4: short circuit,unit pump cylinder short circuit
Unit pump for cylinder 5: valve no impact,unit pump cylinder valve impact
Unit pump for cylinder 5: Actuation fault,unit pump cylinder actuation fault
Unit pump for cylinder 5: short circuit,unit pump cylinder short circuit
Unit pump for cylinder 6: valve no impact,unit pump cylinder valve impact
Unit pump for cylinder 6: Actuation fault,unit pump cylinder actuation fault
Unit pump for cylinder 6: short circuit,unit pump cylinder short circuit
Unit pump for cylinder 7: valve no impact,unit pump cylinder valve impact
Unit pump for cylinder 7: Actuation fault,unit pump cylinder actuation fault
Unit pump for cylinder 7: short circuit,unit pump cylinder short circuit
Unit pump for cylinder 8: valve no impact,unit pump cylinder valve impact
Unit pump for cylinder 8: Actuation fault,unit pump cylinder actuation fault
Unit pump for cylinder 8: short circuit,unit pump cylinder short circuit
AdBlue line heater has Short circuit to ground.,adblue line heater short circuit ground
AdBlue line heater has Short circuit to positive.,adblue line heater short circuit positive
AdBlue line heater has Open circuit.,adblue line heater open circuit
AdBlue line heater is defective.,adblue line heater defective
Solenoid valve of AdBlue tank heater has Short circuit to ground.,solenoid valve adblue tank heater short circuit ground
Solenoid valve of AdBlue tank heater has Short circuit to positive.,solenoid valve adblue tank heater short circuit positive
Solenoid valve of AdBlue tank heater has Open circuit.,solenoid valve adblue tank heater open circuit
Heat valve of AdBlue tank is defective.,heat valve adblue tank defective
"Fill level sensor of AdBlue tank has Short circuit to positive, Open circuit.",fill level sensor adblue tank short circuit positive open circuit
Fill level sensor of AdBlue tank has Short circuit to ground.,fill level sensor adblue tank short circuit ground
Fill level of AdBlue tank is too low.,fill level adblue tank low
"Temperature sensor of AdBlue tanks has Short circuit to positive, Open circuit.",temperature sensor adblue tank short circuit positive open circuit
Temperature sensor of AdBlue tanks has Short circuit to ground.,temperature sensor adblue tank short circuit ground
Sensor 'Fill level/temperature of AdBlue tank' is defective.,sensor fill leveltemperature adblue tank defective
Internal error in the SCR frame module,internal error scr frame module
Actuation of OBD lamp is faulty.,actuation obd lamp faulty
The heater flange has Open circuit.,heater flange open circuit
Fault at heater flange,fault heater flange
The diagnostic cable of the oil separator has Short circuit to ground.,diagnostic cable oil separator short circuit ground
The diagnostic cable of the oil separator has Open circuit or Short circuit to positive.,diagnostic cable oil separator open circuit short circuit positive
The EGR valve is faulty.,egr valve faulty
Temperature difference between exhaust gas and coolant is implausible.,temperature difference exhaust gas coolant implausible
AdBlue pressure is too high.,adblue pressure high
AdBlue pressure is too low.,adblue pressure low
AdBlue pressure drop is too low during run-on.,adblue pressure drop low runon
Power consumption of AdBlue pump is too high.,power consumption adblue pump high
SCR air pressure is too high.,scr air pressure high
SCR air pressure is too low.,scr air pressure low
The air supply of the SCR compressed air system is faulty.,air supply scr compressed air system faulty
Parameterizing error,parameterizing error
Exhaust gas aftertreatment switched off and diagnosis routine active,exhaust gas aftertreatment switched diagnosis routine active
Exhaust gas aftertreatment switched off and diagnosis routine active,exhaust gas aftertreatment switched diagnosis routine active
Proportioning valve 1 has Short circuit to ground.,proportioning valve short circuit ground
Proportioning valve 1 has Short circuit to positive.,proportioning valve short circuit positive
Proportioning valve 1 has Open circuit.,proportioning valve open circuit
Proportioning valve 3 has Short circuit to ground.,proportioning valve short circuit ground
Proportioning valve 3 has Short circuit to positive.,proportioning valve short circuit positive
Proportioning valve 3 has Open circuit.,proportioning valve open circuit
Proportioning valve 3:No fan speed,proportioning valve fan speed
Proportioning valve 4 has Short circuit to ground.,proportioning valve short circuit ground
Proportioning valve 4 has Short circuit to positive.,proportioning valve short circuit positive
Proportioning valve 4 has Open circuit.,proportioning valve open circuit
Proportioning valve 2 has Short circuit to positive.,proportioning valve short circuit positive
Proportioning valve 2 has Short circuit to ground.,proportioning valve short circuit ground
Proportioning valve 2 has Short circuit to positive.,proportioning valve short circuit positive
Proportioning valve 2 has Open circuit.,proportioning valve open circuit
Proportioning valve 2:Current implausible,proportioning valve implausible
Proportioning valve 5 has Short circuit to positive.,proportioning valve short circuit positive
Proportioning valve 5 has Short circuit to ground.,proportioning valve short circuit ground
Battery voltage too high,battery voltage high
Battery voltage too low,battery voltage low
Proportioning valve 6 has Short circuit to ground.,proportioning valve short circuit ground
Proportioning valve 6 has Short circuit to positive.,proportioning valve short circuit positive
Proportioning valve 6 has Open circuit.,proportioning valve open circuit
The proportioning valve bank 1 has Short circuit to positive.,proportioning valve bank short circuit positive
The proportioning valve bank 1 has Short circuit to ground.,proportioning valve bank short circuit ground
The proportioning valve bank 2 has Short circuit to positive.,proportioning valve bank short circuit positive
The proportioning valve bank 2 has Short circuit to ground.,proportioning valve bank short circuit ground
Proportioning valve bank 'SCR frame module' has Short circuit to positive.,proportioning valve bank scr frame module short circuit positive
Proportioning valve bank 'SCR frame module' has Short circuit to ground.,proportioning valve bank scr frame module short circuit ground
Terminal 50 on series relay(Short circuit to positive),terminal series relayshort circuit positive
Terminal 50 on series relay(Short circuit to ground),terminal series relayshort circuit ground
Terminal 50 on series relay(Open circuit),terminal series relayopen circuit
Series relay defective,series relay defective
Starter actuation (output stage) faulty,starter actuation output stage faulty
Starter does not engage,starter engage
SCR compressed air shutoff valve has Short circuit to ground.,scr compressed air shutoff valve short circuit ground
SCR compressed air shutoff valve has Short circuit to positive.,scr compressed air shutoff valve short circuit positive
SCR compressed air shutoff valve has Open circuit.,scr compressed air shutoff valve open circuit
AdBlue metering valve has Short circuit to ground.,adblue metering valve short circuit ground
AdBlue metering valve has Short circuit to positive.,adblue metering valve short circuit positive
AdBlue metering valve has Open circuit.,adblue metering valve open circuit
"AdBlue temperature sensor has Open circuit, Short circuit to positive.",adblue temperature sensor open circuit short circuit positive
AdBlue temperature sensor has Short circuit to ground.,adblue temperature sensor short circuit ground
"AdBlue pressure sensor has Short circuit to positive, Open circuit.",adblue pressure sensor short circuit positive open circuit
AdBlue pressure sensor has Short circuit to ground.,adblue pressure sensor short circuit ground
Measured value of AdBlue pressure sensor is implausible.,measured value adblue pressure sensor implausible
"SCR compressed air sensor has Short circuit to positive, Open circuit.",scr compressed air sensor short circuit positive open circuit
SCR compressed air sensor has Short circuit to ground.,scr compressed air sensor short circuit ground
Measured value of SCR compressed air sensor is implausible.,measured value scr compressed air sensor implausible
Current AdBlue consumption is too high.,current adblue consumption high
Current AdBlue consumption is too low.,current adblue consumption low
Average AdBlue consumption is too high.,average adblue consumption high
Average AdBlue consumption is too low.,average adblue consumption low
AdBlue pressure is implausible.,adblue pressure implausible
AdBlue metering valve on SCR frame module has Short circuit to ground.,adblue metering valve scr frame module short circuit ground
AdBlue metering valve on SCR frame module has Short circuit to positive.,adblue metering valve scr frame module short circuit positive
AdBlue metering valve on SCR frame module has Open circuit.,adblue metering valve scr frame module open circuit
Unit pump cylinder 1: smooth idle control within limit,unit pump cylinder smooth idle control within limit
Unit pump cylinder 1: single cylinder adjustment within limit,unit pump cylinder single cylinder adjustment within limit
Unit pump cylinder 2: smooth idle control within limit,unit pump cylinder smooth idle control within limit
Unit pump cylinder 2: single cylinder adjustment within limit,unit pump cylinder single cylinder adjustment within limit
Unit pump cylinder 3: smooth idle control within limit,unit pump cylinder smooth idle control within limit
Unit pump cylinder 3: single cylinder adjustment within limit,unit pump cylinder single cylinder adjustment within limit
Unit pump cylinder 4: smooth idle control within limit,unit pump cylinder smooth idle control within limit
Unit pump cylinder 4: single cylinder adjustment within limit,unit pump cylinder single cylinder adjustment within limit
Unit pump cylinder 5: smooth idle control within limit,unit pump cylinder smooth idle control within limit
Unit pump cylinder 5: single cylinder adjustment within limit,unit pump cylinder single cylinder adjustment within limit
Unit pump cylinder 6: smooth idle control within limit,unit pump cylinder smooth idle control within limit
Unit pump cylinder 6: single cylinder adjustment within limit,unit pump cylinder single cylinder adjustment within limit
Unit pump cylinder 7: smooth idle control within limit,unit pump cylinder smooth idle control within limit
Unit pump cylinder 7: single cylinder adjustment within limit,unit pump cylinder single cylinder adjustment within limit
Unit pump cylinder 8: smooth idle control within limit,unit pump cylinder smooth idle control within limit
Unit pump cylinder 8: single cylinder adjustment within limit,unit pump cylinder single cylinder adjustment within limit
Single cylinder comparison aborted,single cylinder comparison aborted
Too many keys,many key
"Immobilizer guard function active, control unit MR engine control blocked",immobilizer guard function active control unit mr engine control blocked
Immobilizer in MR engine control activated,immobilizer mr engine control activated
No transponder code through engine CAN bus,transponder code engine bus
No transponder code through terminal 50,transponder code terminal
Incorrect transponder key,incorrect transponder key
Abort of automatic compression test,abort automatic compression test
Abort of automatic compression test,abort automatic compression test
"The measuring range of the temperature sensor of the component 'Pump, line, jet (PLD) control unit' has been exceeded.",measuring range temperature sensor component pump line jet pld control unit exceeded
FR drive control,fr drive control
No CAN message from ABS Anti-lock Braking System or BS brake control (EPB) or message incorrect,message ab antilock braking system b brake control epb message incorrect
No or incorrect CAN message from control unit GS Gear control,incorrect message control unit g gear control
No or incorrect CAN message from control unit KS clutch control,incorrect message control unit k clutch control
No or incorrect CAN message from control unit RS Retarder control,incorrect message control unit r retarder control
No or incorrect CAN message from control unit INS Instrument,incorrect message control unit in instrument
No or incorrect CAN message from control unit PSM Parameterizable Special Module,incorrect message control unit psm parameterizable special module
Vehicle CAN bus has Open circuit or Short circuit to positive or Short circuit to ground.,vehicle bus open circuit short circuit positive short circuit ground
No or incorrect CAN message from control unit WSK torque converter-clutch,incorrect message control unit wsk torque converterclutch
No or incorrect CAN message from control unit KWS Articulation angle control,incorrect message control unit kw articulation angle control
Engine CAN to MR engine control in single-wire mode,engine mr engine control singlewire mode
No or incorrect CAN message from control unit MR engine control,incorrect message control unit mr engine control
Engine CAN to MR engine control interrupted,engine mr engine control interrupted
Engine CAN to FLA flame starting system interrupted,engine fla flame starting system interrupted
Vehicle CAN bus has Open circuit or Short circuit to positive.,vehicle bus open circuit short circuit positive
Vehicle CAN bus has Short circuit to positive or Short circuit to ground.,vehicle bus short circuit positive short circuit ground
'D+ input' has Short circuit to positive.,input short circuit positive
'D+ input' has Open circuit or Short circuit to ground.,input open circuit short circuit ground
Clutch pedal switch 1 has Open circuit.,clutch pedal switch open circuit
Parking brake switch III-15/9 faulty or has short circuit.,parking brake switch faulty short circuit
Brake pedal switch has Open circuit.,brake pedal switch open circuit
Brake pedal switch has Short circuit to positive or Short circuit to ground.,brake pedal switch short circuit positive short circuit ground
'Engine control / continuous brake' operating lever has Open circuit or Short circuit to ground.,engine control continuous brake operating lever open circuit short circuit ground
"""Engine control / continuous brake"" operating lever has Short circuit to positive.",engine control continuous brake operating lever short circuit positive
"""Engine control / continuous brake"" operating lever has Short circuit to positive.",engine control continuous brake operating lever short circuit positive
Clutch pedal switches 1 and 2: incorrect adjustment or switches sticking,clutch pedal switch incorrect adjustment switch sticking
"Neutral position switch, VI-18/16 faulty/ switch stuck",neutral position switch faulty switch stuck
"Splitter switch, II-18/11 and II-18/12 Open circuit/ faulty",splitter switch open circuit faulty
"Engine brake switch of ""Engine control / continuous brake"" operating lever faulty",engine brake switch engine control continuous brake operating lever faulty
Square-wave output GSV 1 (pulsed switch supply) has Short circuit to positive.,squarewave output gsv pulsed switch supply short circuit positive
Square-wave output GSV 1 (pulsed switch supply) has Short circuit to ground.,squarewave output gsv pulsed switch supply short circuit ground
Square-wave output GSV 2 (pulsed switch supply) has Short circuit to positive.,squarewave output gsv pulsed switch supply short circuit positive
Square-wave output GSV 2 (pulsed switch supply) has Short circuit to ground.,squarewave output gsv pulsed switch supply short circuit ground
Square-wave output GSV 3 (pulsed switch supply) has Short circuit to positive.,squarewave output gsv pulsed switch supply short circuit positive
Square-wave output GSV 3 (pulsed switch supply) has Short circuit to ground.,squarewave output gsv pulsed switch supply short circuit ground
Square-wave output GSV 4 (pulsed switch supply) has Short circuit to positive.,squarewave output gsv pulsed switch supply short circuit positive
Square-wave output GSV 4 (pulsed switch supply) has Short circuit to ground.,squarewave output gsv pulsed switch supply short circuit ground
Square-wave outputs (pulsed switch supply) GSV 1 and GSV 4 have Short circuit to positive.,squarewave output pulsed switch supply gsv gsv short circuit positive
Square-wave outputs (pulsed switch supply) GSV 1 and GSV 4 have Short circuit to ground.,squarewave output pulsed switch supply gsv gsv short circuit ground
Square-wave outputs (pulsed switch supply) GSV 2 and GSV 3 have Short circuit to positive.,squarewave output pulsed switch supply gsv gsv short circuit positive
Square-wave outputs (pulsed switch supply) GSV 2 and GSV 3 have Short circuit to ground.,squarewave output pulsed switch supply gsv gsv short circuit ground
Output to oil level switch (3-channel ABS) has Short circuit to positive.,output oil level switch ab short circuit positive
Output to oil level switch (3-channel ABS) has Open circuit.,output oil level switch ab open circuit
Circuit 30 has Open circuit.,circuit open circuit
Overvoltage at terminal 30,overvoltage terminal
Undervoltage at terminal 30,undervoltage terminal
"Coolant level switch 15B01 or air filter monitoring sensor 10B01 faulty, voltage supply III-15/3 has Open circuit or Short circuit to positive or Short circuit to ground.",coolant level switch air filter monitoring sensor faulty voltage supply open circuit short circuit positive short circuit ground
Air filter monitoring sensor faulty,air filter monitoring sensor faulty
Soiling limit of air cleaner is reached.,soiling limit air cleaner reached
Ambient air temperature sensor has Open circuit or Short circuit to positive or Short circuit to ground.,ambient air temperature sensor open circuit short circuit positive short circuit ground
Clutch position sensor not within permissible range,clutch position sensor within permissible range
Coolant level switch is faulty.,coolant level switch faulty
Maximum wear of clutch lining is reached.,maximum wear clutch lining reached
Clutch position sensor not within permissible range,clutch position sensor within permissible range
'W-signal' input has Open circuit or Short circuit to ground or Short circuit to positive.,wsignal input open circuit short circuit ground short circuit positive
"'Transmission input speed signal' faulty, frequency fault",transmission input speed signal faulty frequency fault
Transmission input speed sensor has Open circuit or Short circuit to positive or Short circuit to ground.,transmission input speed sensor open circuit short circuit positive short circuit ground
Invalid speed signal,invalid speed signal
V-signal input has Open circuit or Short circuit to positive or Short circuit to ground.,vsignal input open circuit short circuit positive short circuit ground
The first branch of the foot throttle actuator has Open circuit or Short circuit to positive or Short circuit to ground.,first branch foot throttle actuator open circuit short circuit positive short circuit ground
The second branch of the foot throttle actuator has Open circuit or Short circuit to positive or Short circuit to ground.,second branch foot throttle actuator open circuit short circuit positive short circuit ground
Foot throttle actuator faulty,foot throttle actuator faulty
Foot throttle actuator does not reach idle throttle stop.,foot throttle actuator reach idle throttle stop
Foot throttle actuator not within learned range,foot throttle actuator within learned range
Foot throttle actuator stiff in operation,foot throttle actuator stiff operation
Solenoid valve 1 (actuation of engine brake 1) has Open circuit or Short circuit to positive.,solenoid valve actuation engine brake open circuit short circuit positive
Solenoid valve 1 (actuation of engine brake 1) has Short circuit to ground.,solenoid valve actuation engine brake short circuit ground
Solenoid valve 1 (actuation of engine brake 1) has Short circuit to positive.,solenoid valve actuation engine brake short circuit positive
Solenoid valve 1 (actuation of engine brake 1) has Open circuit.,solenoid valve actuation engine brake open circuit
Solenoid valve 2 (actuation of engine brake 2) has Open circuit or Short circuit to positive.,solenoid valve actuation engine brake open circuit short circuit positive
Solenoid valve 2 (actuation of engine brake 2) has Short circuit to ground.,solenoid valve actuation engine brake short circuit ground
Solenoid valve 2 (actuation of engine brake 2) has Short circuit to positive.,solenoid valve actuation engine brake short circuit positive
Solenoid valve 2 (actuation of engine brake 2) has Open circuit.,solenoid valve actuation engine brake open circuit
MBA engine brake output valve connection has Short circuit to ground.,mba engine brake output valve connection short circuit ground
MBA engine brake output valve connection has Short circuit to positive.,mba engine brake output valve connection short circuit positive
Output IV 18/7 or IV 18/8 has Open circuit or Short circuit to positive.,output iv iv open circuit short circuit positive
Splitter solenoid valve 1 has Short circuit to ground.,splitter solenoid valve short circuit ground
Splitter solenoid valve 1 has Short circuit to positive.,splitter solenoid valve short circuit positive
Splitter solenoid valve 1 has Open circuit.,splitter solenoid valve open circuit
Output IV 18/7 or IV 18/10 has Open circuit or Short circuit to positive.,output iv iv open circuit short circuit positive
Splitter solenoid valve 2 has Short circuit to ground.,splitter solenoid valve short circuit ground
Splitter solenoid valve 2 has Short circuit to positive.,splitter solenoid valve short circuit positive
Splitter solenoid valve 2 has Open circuit.,splitter solenoid valve open circuit
Output IV 18/7 or IV 15/8 has Short circuit to ground.,output iv iv short circuit ground
Output IV 18/7 or IV 15/8 has Short circuit to positive.,output iv iv short circuit positive
'Brake light actuation' output has Open circuit or Short circuit to positive.,brake light actuation output open circuit short circuit positive
'Brake light actuation' output has Short circuit to ground.,brake light actuation output short circuit ground
'Brake light actuation' output has Short circuit to positive.,brake light actuation output short circuit positive
'Brake light actuation' output has Open circuit.,brake light actuation output open circuit
'Reversing light actuation' output has Open circuit or Short circuit to positive.,reversing light actuation output open circuit short circuit positive
'Reversing light actuation' output has Short circuit to ground.,reversing light actuation output short circuit ground
'Reversing light actuation' output has Short circuit to positive.,reversing light actuation output short circuit positive
'Reversing light actuation' output has Open circuit.,reversing light actuation output open circuit
'Actuation of D+' output has Open circuit or Short circuit to positive.,actuation output open circuit short circuit positive
'Actuation of D+' output has Short circuit to ground.,actuation output short circuit ground
'Actuation of D+' output has Short circuit to positive.,actuation output short circuit positive
'Actuation of D+' output has Open circuit.,actuation output open circuit
