"fault code","code description"
"5754","'Reversing light actuation' output has Open circuit."
"5851","'Actuation of D+' output has Open circuit or Short circuit to positive."
"5852","'Actuation of D+' output has Short circuit to ground."
"5853","'Actuation of D+' output has Short circuit to positive."
"5854","'Actuation of D+' output has Open circuit."
"5951","'Automatic engine oil replenishment' actuation has Open circuit or Short circuit to positive."
"5952","'Automatic engine oil replenishment' actuation has Short circuit to ground."
"5953","'Automatic engine oil replenishment' actuation has Short circuit to positive."
"5954","'Automatic engine oil replenishment' actuation has Open circuit."
"6161","Control module has an internal error."
"6262","Control module has an internal error."
"7060","Control module has an internal error."
"7064","Control module has an internal error."
"7070","Accelerator pedal unit not learned"
"7071","Learning error with splitter ratio"
"7072","Learning error with terminal W ratio"
"7073","Learning error with clutch travel sensor"
"7074","Learning error at vehicle CAN bus"
"MCM01B","MCM Motor Control Module(Cummins)"
"364","The component 'Position of exhaust gas recirculation valve' or its electrical line has a short circuit to ground."
"663","The component 'Throttle valve positioner' or its electrical line has a short circuit to positive."
"664","The component 'Throttle valve positioner' or its electrical line has a short circuit to ground."
"667","Component Throttle valve positioner is not leaktight."
"000A82","Signal 'Vehicle speed' is implausible."
"000A8A","Manipulation of switching circuit of speed sensor detected."
"000B62","Component '10B58: 2-way analog accelerator pedal' delivers no signal or an implausible signal."
"000B63","The component '10B58: 2-way analog accelerator pedal' or its electrical line has a short circuit to positive."
"000B64","The component '10B58: 2-way analog accelerator pedal' or its electrical line has a short circuit to ground."
"000B73","CAN communication with component '10B58: 2-way analog accelerator pedal' is faulty."
"000C23","The component 'Condensation sensor' or its electrical line has a short circuit to positive."
"000C24","The component 'Condensation sensor' or its electrical line has a short circuit to ground."
"000C2F","The water content of the fuel filter has reached the upper limit value."
"000C30","Fuel filter-The water content is too high."
"000C81","Oil level is too low."
"000C82","Implausible signal from oil pressure switch"
"000C83","Component Oil pressure switch has a short circuit to positive."
"000C84","Component Oil pressure switch has a short circuit to ground."
"000C92","Oil level has dropped below operating limits."
"000CC2","Component 'Pressure sensor 'Intake air'' delivers no signal or an implausible signal."
"000CC3","The component 'Pressure sensor 'Intake air'' or its electrical line has a short circuit to positive."
"000CC4","The component 'Pressure sensor 'Intake air'' or its electrical line has a short circuit to ground."
"000CD0","The signal 'Intake manifold pressure' from the component 'Pressure sensor 'Intake air'' is above the permissible range."
"000CD2","The signal 'Intake manifold pressure' from the component 'Pressure sensor 'Intake air'' is below the permissible range."
"000CE2","The signal from component Turbocharger rpm sensor is implausible or no signal."
"000CEF","The signal 'Rpm' from the component 'Turbocharger rpm sensor' is above the permissible range."
"000CF0","The signal 'Rpm' from the component 'Turbocharger rpm sensor' is above the permissible range."
"000CF2","The signal 'Rpm' from the component 'Turbocharger rpm sensor' is below the permissible range."
"000D20","The signal 'Boost air temperature' from the component 'Charge air temperature sensor' is above the permissible range."
"000D22","Fault in detection of charge air temperature at intake manifold of engine."
"000D23","The component 'Pressure sensor 'Intake air'' or its electrical line has a short circuit to positive."
"000D24","The component 'Intake air temperature sensor' or its electrical line has a short circuit to ground."
"000D2F","The signal 'Boost air temperature' from the component 'Intake air temperature sensor' is above the permissible range."
"000D82","The signal from component Atmospheric pressure sensor is implausible or no signal."
"000D83","The component 'Atmospheric pressure sensor' or its electrical line has a short circuit to positive."
"000D84","The component 'Atmospheric pressure sensor' or its electrical line has a short circuit to ground."
"000DC0","The signal 'Coolant temperature' from the component 'Coolant temperature sensor' is above the permissible range."
"000DC2","The signal from component Coolant temperature sensor is implausible or no signal."
"000DC3","The component 'Coolant temperature sensor' or its electrical line has a short circuit to positive."
"000DC4","The component 'Coolant temperature sensor' or its electrical line has a short circuit to ground."
"000DCF","The signal 'Coolant temperature' from the component 'Coolant temperature sensor' is above the permissible range."
"000DD0","The signal 'Coolant temperature' from the component 'Coolant temperature sensor' is above the permissible range."
"000DE1","The signal 'Coolant level' from the component '15B01: Coolant container fill level sensor' is below the permissible range."
"000DE2","The signal from component Coolant level sensor is implausible or no signal."
"000DE3","The component 'Coolant level sensor' or its electrical line has a short circuit to positive."
"000DE4","The component 'Coolant level sensor' or its electrical line has a short circuit to ground."
"000DF1","The signal 'Coolant level' from the component 'Coolant level sensor' is below the permissible range."
"000DF2","The signal 'Coolant level' from the component 'Coolant level sensor' is below the permissible range."
"1082","The signal from component Mass air flow sensor is implausible or no signal."
"1088","The signal from component Mass air flow sensor is implausible or no signal."
"1090","The signal 'Air mass' from the component 'Mass air flow sensor' is above the permissible range."
"1092","The signal from component Mass air flow sensor is implausible or no signal."
"0013A0","Pressure limiting valve has exceeded operating limit."
"0013A3","The component '10B54: Rail pressure sensor' or its electrical line has a short circuit to positive."
"0013A4","The component '10B54: Rail pressure sensor' or its electrical line has a short circuit to ground."
"0013B0","The signal 'Rail pressure ' from the component '10B54: Rail pressure sensor' is above the permissible range."
"0013B2","The signal 'Rail pressure ' from the component '10B54: Rail pressure sensor' is above the permissible range."
"1,30E+01","The signal 'Fuel pressure' from the component 'Fuel pressure sensor' is above the permissible range."
"1,30E+04","The component 'Fuel pressure sensor' or its electrical line has a short circuit to positive."
"1,30E+05","The component 'Fuel pressure sensor' or its electrical line has a short circuit to ground."
"0013F0","The signal 'Fuel pressure' from the component 'Fuel pressure sensor' is above the permissible range."
"0013F2","The signal 'Fuel pressure' from the component 'Fuel pressure sensor' is below the permissible range."
"1,40E+02","Battery voltage is too low."
"0014F0","Battery voltage is too low."
"0014F2","Battery voltage is too low."
"1510","The battery voltage is too high."
"1512","Battery voltage is too low."
"1562","Measurement value from ambient air temperature sensor is implausible."
"1563","The component 'Outside air temperature sensor' or its electrical line has a short circuit to positive."
"1564","The component 'Outside air temperature sensor' or its electrical line has a short circuit to ground."
"0015C3","The component 'Fuel temperature sensor' or its electrical line has a short circuit to positive."
"0015CB","The component 'Fuel temperature sensor' or its electrical line has a short circuit to ground."
"0017C0","The signal 'Crankshaft' from the component 'Crankshaft position sensor' is above the permissible range."
"0017C2","The signal from component Crankshaft position sensor is implausible or no signal."
"001F62","The signal from component Real-time clock is implausible or no signal."
"001F6A","The real-time clock inside the control unit has a malfunction."
"3362","The signal from component Pressure differential of exhaust gas recirculation is implausible or no signal."
"3363","The component 'Pressure differential of exhaust gas recirculation ' or its electrical line has a short circuit to positive."
"3364","The component 'Pressure differential of exhaust gas recirculation ' or its electrical line has a short circuit to ground."
"3383","The component 'Exhaust gas recirculation temperature sensor' or its electrical line has a short circuit to positive."
"3384","The component 'Exhaust gas recirculation temperature sensor' or its electrical line has a short circuit to ground."
"00338F","The signal 'Temperature' from the component 'Exhaust gas recirculation temperature sensor' is above the permissible range."
"3390","The signal 'Temperature' from the component 'Exhaust gas recirculation temperature sensor' is above the permissible range."
"3790","The battery voltage is too high."
"3792","Battery voltage is too low."
"0041A2","The CAN input signals are implausible."
"0045C2","Test wiring to the components Accelerator pedal and Manual throttle actuator."
"0045CD","Components Accelerator pedal and Manual throttle actuator supply implausible values."
"4669","No communication is possible with control unit BS Brake control."
"004AA3","The component 'Brake switch' or its electrical line has a short circuit to positive."
"004AA4","The component 'Brake switch' or its electrical line has a short circuit to ground."
"004C82","Connector lines Crankshaft position sensor and Camshaft position sensor are swapped."
"4,00E+29","The signal from component X0209: CAN - IES star point is implausible or no signal."
"004EAC","An internal control unit fault was detected."
"004F03","The component 'Solenoid valve 'Fuel shutoff'' or its electrical line has a short circuit to positive."
"004F04","The component 'Solenoid valve 'Fuel shutoff'' or its electrical line has a short circuit to ground."
"004F23","The component 'Injector' or its electrical line has a short circuit to positive."
"004F24","The component 'Injector' or its electrical line has a short circuit to ground."
"004F3F","Implausible resistance valueActuatorFuel pump"
"004FE9","The CAN bus has failed or the received CAN signals are not plausible."
"004FED","CAN bus-fault"
"5,00E+04","The component 'Electromagnetic fan clutch' or its electrical line has a short circuit to positive."
"5,00E+05","The component 'Electromagnetic fan clutch' or its electrical line has a short circuit to ground."
"5165","The fuel injector (cylinder 1) has an electrical fault or an open circuit."
"5185","The fuel injector (cylinder 2) has an electrical fault or an open circuit."
"0051A5","The fuel injector (cylinder 3) has an electrical fault or an open circuit."
"0051C5","The fuel injector (cylinder 4) has an electrical fault or an open circuit."
"5,10E+06","The fuel injector (cylinder 5) has an electrical fault or an open circuit."
"5205","The fuel injector (cylinder 6) has an electrical fault or an open circuit."
"0054A3","The starter relay has a short circuit to positive."
"0054A4","The starter relay has a short circuit to ground."
"0057C3","The component 'C3-signal/v-impulse of speedometer' or its electrical line has a short circuit to positive."
"5,70E+04","The component 'C3-signal/v-impulse of speedometer' or its electrical line has a short circuit to positive."
"0057EB","Accessory assembliesSensor3-Unknown cause"
"5822","Component 'Air cleaner sensor' delivers no signal or an implausible signal."
"5823","The component 'Air cleaner sensor' or its electrical line has a short circuit to positive."
"5824","The component 'Air cleaner sensor' or its electrical line has a short circuit to ground."
"00583F","Air cleaner sensor is soiled."
"5842","The signal from component Generator is implausible or no signal."
"00585F","Generator-The battery is not charged."
"005A62","The signal from component Camshaft position sensor is implausible or no signal."
"005A67","Crank angle position sensor, assignment of crankshaft and camshaft signal faulty"
"005AA3","The component 'Starter relay' or its electrical line has a short circuit to positive."
"005AA4","The component 'Starter relay' or its electrical line has a short circuit to ground."
"005AC3","The component 'Ignition system' or its electrical line has a short circuit to positive."
"005AC4","The component 'Ignition system' or its electrical line has a short circuit to ground."
"005B23","The component 'Intake air preheating' or its electrical line has a short circuit to positive."
"005B24","The component 'Intake air preheating' or its electrical line has a short circuit to ground."
"005D89","The signal of component 'Retarder' is implausible."
"6969","The signal of component 'INS Instrument' is implausible."
"0079C3","The component 'Manual throttle actuator' or its electrical line has a short circuit to positive."
"0079C4","The component 'Manual throttle actuator' or its electrical line has a short circuit to ground."
"0079D3","The signal of component 'Manual throttle actuator' is implausible."
"8603","The component '11Y02: Engine brake 2 solenoid valve (exhaust flap)' or its electrical line has a short circuit to positive."
"8604","The component '11Y02: Engine brake 2 solenoid valve (exhaust flap)' or its electrical line has a short circuit to ground."
"0087A2","The signal of the component 'Retarder' is invalid."
"008CE3","The component 'Pressure sensor 'Intake air'' or its electrical line has a short circuit to positive."
"008CE4","The component 'Pressure sensor 'Intake air'' or its electrical line has a short circuit to ground."
"8,00E+02","Control unit fault, internal temperature sensor"
"8,00E+03","Control unit fault, internal temperature sensor"
"8,00E+04","Control unit fault, internal temperature sensor"
"9282","The signal of the component '10B25: Turbo intake air temperature sensor' is invalid."
"9283","The component '10B25: Turbo intake air temperature sensor' or its electrical line has a short circuit to positive."
"9284","The component '10B25: Turbo intake air temperature sensor' or its electrical line has a short circuit to ground."
"9303","The component 'Boost pressure sensor' or its electrical line has a short circuit to positive."
"9304","The component 'Boost pressure sensor' or its electrical line has a short circuit to ground."
"9310","The signal 'Boost pressure' from the component 'Boost pressure sensor' is above the permissible range."
"9312","Turbocharger 1 Compressor Intake Pressure - Data Valid But Below Normal Operating Range - Moderately Severe Level | |The signal 'Air pressure' from the component 'Turbocharger' is below the permissible range."
"9383","The component 'Intake air temperature sensor' or its electrical line has a short circuit to positive."
"9384","The component 'Intake air temperature sensor' or its electrical line has a short circuit to ground."
"9483","The component 'Charge pressure control valve ' or its electrical line has a short circuit to positive."
"9484","The component 'Charge pressure control valve ' or its electrical line has a short circuit to ground."
"9487","Mechanical faultCharge pressure control"
"9562","The signal of the component 'Immobilizer' is invalid."
"009B23","The component '15B46: Mass air flow natural gas sensor' or its electrical line has a short circuit to positive."
"009B24","The component '15B46: Mass air flow natural gas sensor' or its electrical line has a short circuit to ground."
"009B30","The signal 'Fuel flow' from the component '15B46: Mass air flow natural gas sensor' is above the permissible range."
"009B32","The signal 'Fuel flow' from the component '15B46: Mass air flow natural gas sensor' is below the permissible range."
"9,00E+63","The component '47K09: Frequent-stop brake idle throttle signal relay' or its electrical line has a short circuit to positive."
"9,00E+64","The component '47K09: Frequent-stop brake idle throttle signal relay' or its electrical line has a short circuit to ground."
"00A1CF","Spark plug1 (A1):The signal 'Voltage' from the component 'Spark plug' is above the permissible range."
"00A1D1","Spark plug1 (A1):The signal 'Voltage' from the component 'Spark plug' is below the permissible range."
"00A1EF","Spark plug2 (B1):The signal 'Voltage' from the component 'Spark plug' is above the permissible range."
"00A1F1","Spark plug2 (B1):The signal 'Voltage' from the component 'Spark plug' is below the permissible range."
"00A20F","Spark plug3 (A2):The signal 'Voltage' from the component 'Spark plug' is above the permissible range."
"00A211","Spark plug3 (A2):The signal 'Voltage' from the component 'Spark plug' is below the permissible range."
"00A22F","Spark plug4 (B2):The signal 'Voltage' from the component 'Spark plug' is above the permissible range."
"00A231","Spark plug4 (B2):The signal 'Voltage' from the component 'Spark plug' is below the permissible range."
"00A24F","Spark plug5 (A3):The signal 'Voltage' from the component 'Spark plug' is above the permissible range."
"00A251","Spark plug5 (A3):The signal 'Voltage' from the component 'Spark plug' is below the permissible range."
"00A26F","Spark plug6 (B3):The signal 'Voltage' from the component 'Spark plug' is above the permissible range."
"00A271","Spark plug6 (B3):The signal 'Voltage' from the component 'Spark plug' is below the permissible range."
"00A543","The component 'Ignition coils' or its electrical line has a short circuit to positive."
"00A544","The component 'Ignition coils' or its electrical line has a short circuit to ground."
"00A55F","Combustion misfiring at various cylinders at both banks"
"00A57F","Combustion misfiring of cylinder 1 has been detected."
"00A59F","Combustion misfiring of cylinder 2 has been detected."
"00A5BF","Combustion misfiring of cylinder 3 has been detected."
"00A5DF","Combustion misfiring of cylinder 4 has been detected."
"00A5FF","Combustion misfiring of cylinder 5 has been detected."
"00A61F","Combustion misfiring of cylinder 6 has been detected."
"00A863","The component 'Fuel pump' or its electrical line has a short circuit to positive."
"00A864","The component 'Fuel pump' or its electrical line has a short circuit to ground."
"00A867","Fuel pumpMechanical fault"
"00A900","Cylinder 1:Knocking combustion"
"00A90F","Cylinder 1:Knocking combustion"
"00A920","Cylinder 2:Knocking combustion"
"00A924","The component 'Cylinder 2' or its electrical line has a short circuit to ground."
"00A92F","Cylinder 2:Knocking combustion"
"00A940","Cylinder 3:Knocking combustion"
"00A94F","Cylinder 3:Knocking combustion"
"00A960","Cylinder 4:Knocking combustion"
"00A96F","Cylinder 4:Knocking combustion"
"00A980","Cylinder 5:Knocking combustion"
"00A984","The component 'Cylinder 5' or its electrical line has a short circuit to ground."
"00A98F","Cylinder 5:Knocking combustion"
"00A9A0","Cylinder 6:Knocking combustion"
"00A9AF","Cylinder 6:Knocking combustion"
"00AC5F","The engine oil must be replaced."
"00ADC1","The signal 'Pressure' from the component 'B4/25 (Fuel pressure and temperature sensor)' is below the permissible range."
"00ADC3","The component 'B4/25 (Fuel pressure and temperature sensor)' or its electrical line has a short circuit to positive."
"00ADC4","The component 'B4/25 (Fuel pressure and temperature sensor)' or its electrical line has a short circuit to ground."
"00ADD0","The signal 'Pressure' from the component 'B4/25 (Fuel pressure and temperature sensor)' is above the permissible range."
"00ADD2","The signal 'Pressure' from the component 'B4/25 (Fuel pressure and temperature sensor)' is above the permissible range."
"00C6C2","The signal of component 'ART autonomous intelligent cruise control' is implausible."
"00DC21","The fill level of the AdBlue tank is too low."
"00DC23","Fill level sensor 'AdBlue' has a short circuit to positive."
"00DC24","Fill level sensor 'AdBlue' has a short circuit to ground."
"00DC32","The fill level of the AdBlue tank is too low."
"00E6A9","CAN bus-fault"
"1,47E+05","The component '10B58: 2-way analog accelerator pedal' or its electrical line has a short circuit to positive."
"1,47E+06","The component '10B58: 2-way analog accelerator pedal' or its electrical line has a short circuit to ground."
"0148AF","The signal 'Charge air temperature downstream of turbocharger ' from the component 'Turbocharger' is below the permissible range."
"0148C3","The component 'Mass air flow sensor' or its electrical line has a short circuit to positive."
"0148C4","The component 'Mass air flow sensor' or its electrical line has a short circuit to ground."
"014C70","The signal 'Pressure' from the component 'Differential pressure sensor' is above the permissible range."
"014C72","The signal 'Pressure' from the component 'Differential pressure sensor' is below the permissible range."
"015CAF","The signal 'Charge air temperature upstream of turbocharger' from the component 'Turbocharger' is above the permissible range."
"015CB0","The signal 'Temperature' from the component 'Charge air temperature sensor' is above the permissible range."
"015CE4","The component 'Exhaust gas recirculation valve ' or its electrical line has a short circuit to ground."
"015CE5","The electrical lines to component 'Exhaust gas recirculation valve ' have a short circuit or an open circuit."
"015CE7","Mechanical fault of component Exhaust gas recirculation valve"
"015CED","Calibration of the component 'Exhaust gas recirculation valve ' is not plausible."
"17042","Operational fault of component Sensor 'Humidity/air temperature'"
"17043","The component 'Sensor 'Humidity/air temperature'' or its electrical line has a short circuit to positive."
"017AE2","The signal of component 'Sensor 'Fill level/temperature of AdBlue tank'' is implausible."
"017AE3","The component 'Sensor 'Fill level/temperature of AdBlue tank'' or its electrical line has a short circuit to positive."
"017AE4","The component 'Sensor 'Fill level/temperature of AdBlue tank'' or its electrical line has a short circuit to ground."
"017AF2","The signal 'Temperature' from the component 'Sensor 'Fill level/temperature of AdBlue tank'' is below the permissible range."
"19222","Operational fault of component Oxygen sensor"
"19223","The component 'Oxygen sensor' or its electrical line has a short circuit to positive."
"0192C3","The component 'Oxygen sensor' or its electrical line has a short circuit to positive."
"0192C4","The component 'Oxygen sensor' or its electrical line has a short circuit to ground."
"19340","The NOx concentration downstream of the SCR catalytic converter is too high."
"19342","The signal of component 'NOx sensor downstream of SCR catalytic converter' is implausible."
"19344","The component 'NOx sensor downstream of SCR catalytic converter' or its electrical line has a short circuit to ground."
"19349","The signal of component 'NOx sensor downstream of SCR catalytic converter' is implausible."
"01934F","The signal 'NOx concentration' from the component 'NOx sensor downstream of SCR catalytic converter' is above the permissible range."
"19363","The component '17B08: Nitrogen oxide (NOx) sensor after Selective Catalytic Reduction' or its electrical line has a short circuit to positive."
"19382","The power supply of component 'NOx sensor downstream of SCR catalytic converter' is outside the tolerance."
"19403","The component 'Oxygen sensor' or its electrical line has a short circuit to positive."
"19404","The component 'Oxygen sensor' or its electrical line has a short circuit to ground."
"19520","The signal 'Temperature' from the component '17B03: Temperature sensor, exhaust gas downstream of SCR catalytic converter' is above the permissible range."
"19523","The component '17B03: Temperature sensor, exhaust gas downstream of SCR catalytic converter' or its electrical line has a short circuit to positive."
"19524","The component '17B03: Temperature sensor, exhaust gas downstream of SCR catalytic converter' or its electrical line has a short circuit to ground."
"19530","The signal 'Temperature' from the component '17B03: Temperature sensor, exhaust gas downstream of SCR catalytic converter' is above the permissible range."
"01A402","The signal of component 'AdBlue metering unit' is implausible."
"01A409","The signal of component 'AdBlue metering unit' is implausible."
"01A40B","AdBlue metering unit-Unknown cause"
"01A40C","Internal fault in component AdBlue metering unit:"
"01A413","The signal between the components '10A24: Diesel engine control unit' and 'AdBlue metering unit' is implausible."
"01A422","The signal of component 'AdBlue metering unit' is implausible."
"01A423","The component 'AdBlue metering unit' or its electrical line has a short circuit to positive."
"01A424","The component 'AdBlue metering unit' or its electrical line has a short circuit to ground."
"01A425","The component 'AdBlue metering unit' or its electrical line has an open circuit."
"01A427","Mechanical fault of component AdBlue metering unit"
"01A42B","AdBlue metering unit-Unknown cause"
"01A42C","Internal fault in component AdBlue metering unit:"
"01A447","The lead to component AdBlue metering unit has Mechanical fault."
"01A45F","Fault in component AdBlue metering unit"
"01A463","The component 'AdBlue tank heater' or its electrical line has a short circuit to positive."
"01A464","The component 'AdBlue tank heater' or its electrical line has a short circuit to ground."
"01A465","The component 'AdBlue tank heater' or its electrical line has an open circuit."
"01A467","Mechanical fault of component AdBlue tank heater"
"01A470","The signal 'Temperature' from the component 'AdBlue tank heater' is above the permissible range."
"01A472","The signal '' from the component 'AdBlue tank heater' is below the permissible range."
"01AF63","The component 'Ignition system' or its electrical line has a short circuit to positive."
"01AF64","The component 'Ignition system' or its electrical line has a short circuit to ground."
"01B100","The signal 'Throttle valve position ' from the component 'Throttle valve positioner' is above the permissible range."
"01B101","The signal 'Throttle valve position ' from the component 'Throttle valve positioner' is below the permissible range."
"01B104","The component 'Throttle valve positioner' or its electrical line has a short circuit to ground."
"01B106","Component Throttle valve positioner has a short circuit to positive or ground."
"01B6A3","Sensor supply voltage1-Excessive voltage or short circuit to positive"
"01B6A4","Sensor supply voltage1-Insufficient voltage or short circuit to ground"
"01B6C3","Sensor supply voltage2-Excessive voltage or short circuit to positive"
"01B6C4","Sensor supply voltage2-Insufficient voltage or short circuit to ground"
"01B6E3","Sensor supply voltage3-Excessive voltage or short circuit to positive"
"01B6E4","Sensor supply voltage3-Insufficient voltage or short circuit to ground"
"01B703","Sensor supply voltage4-Excessive voltage or short circuit to positive"
"01B704","Sensor supply voltage4-Insufficient voltage or short circuit to ground"
"01B723","Sensor supply voltage5-Excessive voltage or short circuit to positive"
"01B724","Sensor supply voltage5-Insufficient voltage or short circuit to ground"
"01B743","Sensor supply voltage6-Excessive voltage or short circuit to positive"
"01B744","Sensor supply voltage6-Insufficient voltage or short circuit to ground"
"01BC71","The signal 'Sensor voltage' from the component 'Charge air pressure sensor' is below the permissible range."
"01C1A2","The power supply of terminal 15 has an open circuit."
"01CB22","The signal from component Throttle valve positioner is implausible or no signal."
"01CB23","The component 'Throttle valve positioner' or its electrical line has a short circuit to positive."
"01CB24","The component 'Throttle valve positioner' or its electrical line has a short circuit to ground."
"02001F","The AdBlue tank is empty."
"021DC2","The signal from component AdBlue pressure sensor is implausible or no signal."
"021DC3","The component 'AdBlue pressure sensor' or its electrical line has a short circuit to positive."
"021DC4","The component 'AdBlue pressure sensor' or its electrical line has a short circuit to ground."
"021DD0","The signal 'AdBlue pressure' from the component 'AdBlue pressure sensor' is above the permissible range."
"021DD2","The signal 'AdBlue pressure' from the component 'AdBlue pressure sensor' is below the permissible range."
"2,10E+84","Heater of AdBlue line1-Excessive voltage or short circuit to positive"
"2,10E+85","Heater of AdBlue line1-Insufficient voltage or short circuit to ground"
"2,10E+86","Heater of AdBlue line1-Cable has open circuit."
"021EC3","Heater of AdBlue line2-Excessive voltage or short circuit to positive"
"021EC4","Heater of AdBlue line2-Insufficient voltage or short circuit to ground"
"021EC5","Heater of AdBlue line2-Cable has open circuit."
"021F03","Heater of AdBlue line3-Excessive voltage or short circuit to positive"
"021F04","Heater of AdBlue line3-Insufficient voltage or short circuit to ground"
"021F05","Heater of AdBlue line3-Cable has open circuit."
"021F43","Heater of AdBlue line4-Excessive voltage or short circuit to positive"
"021F44","Heater of AdBlue line4-Insufficient voltage or short circuit to ground"
"021F45","Heater of AdBlue line4-Cable has open circuit."
"22100","The signal 'Input temperature' from the component '17B04: Temperature sensor, exhaust gas upstream of SCR catalytic converter' is above the permissible range."
"22102","The signal from component 17B04: Temperature sensor, exhaust gas upstream of SCR catalytic converter is implausible or no signal."
"22103","The component '17B04: Temperature sensor, exhaust gas upstream of SCR catalytic converter' or its electrical line has a short circuit to positive."
"22104","The component '17B04: Temperature sensor, exhaust gas upstream of SCR catalytic converter' or its electrical line has a short circuit to ground."
"02210D","Components 17B03: Temperature sensor, exhaust gas downstream of SCR catalytic converter and 17B04: Temperature sensor, exhaust gas upstream of SCR catalytic converter mixed up"
"02210F","The signal 'Input temperature' from the component '17B04: Temperature sensor, exhaust gas upstream of SCR catalytic converter' is above the permissible range."
"22110","The signal 'Input temperature' from the component '17B04: Temperature sensor, exhaust gas upstream of SCR catalytic converter' is above the permissible range."
"22160","The signal 'Output temperature' from the component '17B03: Temperature sensor, exhaust gas downstream of SCR catalytic converter' is above the permissible range."
"22163","The component '17B03: Temperature sensor, exhaust gas downstream of SCR catalytic converter' or its electrical line has a short circuit to positive."
"22164","The component '17B03: Temperature sensor, exhaust gas downstream of SCR catalytic converter' or its electrical line has a short circuit to ground."
"02216F","The signal 'Output temperature' from the component '17B03: Temperature sensor, exhaust gas downstream of SCR catalytic converter' is above the permissible range."
"22170","The signal 'Output temperature' from the component '17B03: Temperature sensor, exhaust gas downstream of SCR catalytic converter' is above the permissible range."
"22303","The component 'AdBlue reversing valve' or its electrical line has a short circuit to positive."
"22304","The component 'AdBlue reversing valve' or its electrical line has a short circuit to ground."
"22305","Component AdBlue reversing valve has an open circuit."
"02575F","The SCR catalytic converter is not installed or damaged."
"29652","The efficiency of the catalytic converter is too low."
"02A243","The component 'AdBlue metering valve' or its electrical line has a short circuit to positive."
"02A244","The component 'AdBlue metering valve' or its electrical line has a short circuit to ground."
"02A245","Component AdBlue metering valve has an open circuit."
"02A247","Mechanical defect in component AdBlue metering valve"
"02AD10","The signal 'Temperature' from the component 'AdBlue metering valve' is above the permissible range."
"02AE63","The component '17K01: AdBlue line heater relay' or its electrical line has a short circuit to positive."
"02AE64","The component '17K01: AdBlue line heater relay' or its electrical line has a short circuit to ground."
"02AE65","Component 17K01: AdBlue line heater relay has an open circuit."
"02AE67","Mechanical defect in component 17K01: AdBlue line heater relay"
"02B867","Mechanical defect in component Rail pressure control valve"
P0001,Fuel Adjustment Regulator Control Open Circuit
P0002,Command Line Interruption
P0003,Fuel Adjustment Regulator Control Circuit Low
P0004,Signal Short to Ground Adjustment Control Solenoid
P0005,Fuel Shutoff Valve Open Circuit
P0006,Open Circuit Fuel Shutoff Valve
P0007,Fuel Shutoff Valve Signal High
P0008,Signal to Positive Line Break to Ground or Short Circuit Solenoid Valve
P0012,Camshaft Inlet Sensor Front Left Bank 1 Circuit Timing Error Low Performance Retard Valve Timing Off Engine Mechanical Error Camshaft Sensor
P0013,Camshaft Outlet Sensor Rear Right Bank 1 Circuit Timing Error Low Performance Advance Valve Timing Off Engine Mechanical Error Camshaft Sensor
P0016,Crankshaft Position Sensor Bank 1 Sensor A Wiring Sensor Mechanical Error
P0017,Crankshaft Position Sensor Bank 2 Sensor A Wiring Sensor Mechanical Error
P0018,Crankshaft Position Sensor Bank 2 Sensor B Wiring Sensor Mechanical Error
P0020,Camshaft Inlet Sensor Front Left Bank 2 Circuit Error Wiring Camshaft Sensor Engine Electronics
P0023,Camshaft Outlet Sensor Rear Right Bank 2 Circuit Timing Error Low Performance Retard Valve Timing Off Engine Mechanical Error Camshaft Sensor
P0025,Outlet Valve Control Solenoid Circuit Bank 1 Performance Inlet Valves Control Solenoid Program
P0026,Outlet Valve Control Solenoid Circuit Bank 2 Performance Outlet Valves Control Solenoid Program
P0027,Lambda Probe Heating System Bank 1 Heater 1 Command Line Interruption Sensor Engine Electronics
P0028,Lambda Probe Heating System Bank 1 Heater 1 Low Command Short to Ground Sensor Engine Electronics
P0029,Lambda Probe Heating System Bank 1 Heater 1 High Command to Positive Short Circuit Sensor Engine Electronics
P0034,Turbo Vacuum Adjustment Valve Error Wiring Turbo Vacuum Adjustment Valve Engine Electronics
P0035,Turbo Vacuum Adjustment Valve Error Circuit High Wiring Turbo Vacuum Adjustment Valve Engine Electronics Cable Connections Control
P0036,O2 Sensor 2 Bank 1 Heating Circuit Low Wiring Sensor Engine Electronics Short to Ground
P0037,Turbo Charge Bypass Valve Error Performance Wiring Bypass Valve
P0038,O2 Sensor Nonsensical Signal Bank 1 Sensor 2 Bank 2 Sensor 2 Wiring
P0039,O2 Sensor 3 Bank 1 Heating Circuit Low Wiring Sensor Engine Electronics Short to Ground
P0040,Turbo Pressure Control Solenoid Open Circuit Wiring Pressure Control Solenoid
P0041,Turbo Pressure Control Solenoid Circuit Low Wiring Short to Ground Pressure Control Solenoid
P0042,Turbo Turbine Speed Low Mechanical Error
P0043,O2 Sensor 1 Bank 2 Heating Circuit Low Command Short to Ground Sensor Engine Electronics
P0044,O2 Sensor Bank 1 Sensor 2 Heating Resistance Error Wiring O2 Sensor
P0045,O2 Sensor 2 Bank 2 Heating Circuit Error Wiring Sensor Engine Electronics
P0046,O2 Sensor Bank 2 Sensor 1 Heating Resistance Error Wiring O2 Sensor
P0047,O2 Sensor Bank 2 Sensor 3 Heating Resistance Error Wiring O2 Sensor
P0048,O2 Sensor 2 Bank 2 Heating Circuit Low Command Short to Ground Sensor Engine Electronics
